0 0 2 256 305 -1
0 139 2 33 173 486
0 76 0 1 391 510
1 129 4 5 78 341
1 140 3 176 485 -1
1 57 3 -1 -1 -1
2 203 7 189 470 -1
2 165 6 8 323 354
2 70 7 112 171 -1
3 46 11 77 307 -1
3 141 11 201 453 -1
3 59 9 10 405 425
4 123 13 14 65 214
4 202 12 187 302 -1
4 84 12 72 202 -1
5 148 17 348 513 -1
5 10 17 554 577 -1
5 69 15 16 44 143
6 85 19 20 418 442
6 50 18 343 526 -1
6 184 18 347 379 -1
7 93 22 185 393 -1
7 96 21 23 363 455
7 97 22 124 132 -1
8 81 26 103 475 -1
8 3 26 108 327 -1
8 31 24 25 390 411
9 179 28 29 48 151
9 24 27 290 355 -1
9 201 27 69 178 -1
10 18 31 32 79 206
10 114 30 216 299 -1
10 8 30 212 464 -1
11 94 34 35 1 288
11 115 33 185 211 306
11 20 33 207 566 -1
12 23 38 73 250 -1
12 190 38 319 340 -1
12 58 36 37 204 443
13 170 40 41 80 396
13 33 39 131 134 -1
13 199 39 388 -1 -1
14 25 43 254 309 -1
14 28 42 44 377 451
14 69 43 17 143 143
15 110 46 47 67 68
15 48 45 196 95 182
15 155 45 381 447 -1
16 179 49 27 151 151
16 5 48 50 349 382
16 2 49 86 571 -1
17 32 52 175 353 -1
17 98 51 53 251 274
17 174 52 105 190 -1
18 1 56 438 456 -1
18 51 56 181 227 -1
18 49 54 55 109 400
19 109 58 59 561 594
19 102 57 436 596 -1
19 150 57 144 284 -1
20 182 62 221 266 -1
20 120 62 313 415 -1
20 136 60 61 150 527
21 63 64 219 448 -1
21 86 63 65 134 359
21 123 64 12 214 214
22 83 67 93 107 -1
22 110 66 68 45 68
22 110 67 67 45 67
23 201 70 29 178 178
23 180 69 71 84 265
23 169 70 97 149 -1
24 84 73 14 202 202
24 23 72 74 36 250
24 17 73 81 275 -1
25 161 77 492 504 -1
25 45 77 137 387 -1
25 46 75 76 154 9
26 129 79 80 3 341
26 18 78 30 206 206
26 170 78 39 396 396
27 17 82 74 275 275
27 151 81 83 172 427
27 166 82 200 271 -1
28 180 85 70 265 265
28 167 84 86 434 437
28 2 85 50 571 571
29 37 88 89 104 384
29 92 87 300 366 -1
29 27 87 342 445 -1
30 113 91 325 330 -1
30 134 90 92 186 257
30 146 91 120 417 -1
31 83 95 189 66 107
31 30 95 166 136 228
31 48 93 94 46 182
32 104 98 235 532 -1
32 169 98 71 149 149
32 154 96 97 255 315
33 91 100 101 122 351
33 168 99 332 454 -1
33 57 99 -1 -1 -1
34 12 104 -1 -1 -1
34 81 104 24 475 475
34 37 102 103 87 384
35 174 106 53 190 190
35 126 105 107 174 269
35 83 106 93 66 93
36 3 109 25 327 327
36 49 108 110 56 400
36 149 109 311 412 -1
37 176 113 179 130 167
37 70 113 8 171 171
37 135 111 112 297 450
38 137 115 248 328 -1
38 121 114 116 163 267
38 75 115 272 520 -1
39 145 118 229 242 -1
39 52 117 119 138 268
39 26 118 234 478 -1
40 146 122 92 417 417
40 62 122 225 476 -1
40 91 120 121 99 351
41 186 124 125 156 262
41 97 123 23 132 132
41 196 123 490 562 -1
42 42 127 128 345 460
42 68 126 583 595 -1
42 34 126 160 165 -1
43 60 130 131 346 433
43 176 129 111 167 167
43 33 129 40 134 134
44 97 133 124 23 124
44 53 132 134 135 301
44 33 133 64 131 40
45 53 137 133 301 301
45 30 137 94 228 228
45 45 135 136 76 387
46 52 140 118 268 268
46 153 140 -1 -1 -1
46 106 138 139 570 597
47 87 142 143 370 372
47 127 141 374 466 -1
47 69 141 44 17 44
48 150 145 146 59 284
48 188 144 276 365 -1
48 72 144 430 441 -1
49 183 149 217 493 -1
49 41 149 294 507 -1
49 169 147 148 97 71
50 136 152 62 527 527
50 179 152 48 27 48
50 147 150 151 224 270
51 157 155 161 166 -1
51 64 155 77 422 424
51 122 153 154 164 208
52 186 157 123 262 262
52 185 156 158 296 352
52 67 157 338 414 -1
53 78 160 161 193 308
53 34 159 163 128 165
53 157 159 153 166 166
54 107 163 192 198 547
54 121 162 164 160 115
54 122 163 155 208 208
55 34 166 160 128 160
55 157 165 167 94 161
55 176 166 130 111 130
56 29 169 496 555 -1
56 119 168 170 199 457
56 198 169 196 408 -1
57 70 173 112 8 112
57 151 173 82 427 427
57 139 171 172 1 486
58 126 175 176 106 269
58 32 174 51 353 353
58 140 174 4 485 485
59 177 178 179 183 191
59 201 177 183 69 29
59 99 177 111 273 394
60 116 181 247 439 -1
60 51 180 182 55 227
60 48 181 95 46 95
61 177 184 185 178 177
61 189 183 413 545 -1
61 93 183 34 21 393
62 134 188 91 257 257
62 202 188 13 302 302
62 143 186 187 209 295
63 203 191 93 6 470
63 174 191 105 53 105
63 177 189 190 183 177
64 13 194 162 230 371
64 36 194 159 197 317
64 21 192 193 -1 -1
65 125 197 316 469 -1
65 198 197 46 170 408
65 128 195 196 193 292
66 107 199 162 547 547
66 119 198 200 169 457
66 166 199 83 271 271
67 141 203 10 453 453
67 84 203 72 14 72
67 133 201 202 318 420
68 58 205 206 38 443
68 118 204 337 432 -1
68 18 204 79 30 79
69 20 208 35 566 566
69 122 207 209 164 155
69 143 208 188 295 295
70 191 211 259 291 -1
70 115 210 212 34 306
70 8 211 32 464 464
71 22 214 364 449 -1
71 123 213 215 65 12
71 162 214 249 521 -1
72 114 217 31 299 299
72 183 216 218 147 493
72 197 217 223 367 -1
73 63 220 63 448 448
73 181 219 221 360 440
73 182 220 60 266 266
74 101 224 239 320 -1
74 197 224 218 367 367
74 147 222 223 152 270
75 62 226 227 121 476
75 142 225 395 484 -1
75 51 225 181 55 181
76 30 229 230 136 94
76 145 228 117 242 242
76 13 228 192 371 371
77 187 233 314 502 -1
77 100 233 336 551 -1
77 178 231 232 -1 -1
78 26 236 119 478 478
78 104 236 96 532 532
78 88 234 235 410 472
79 195 239 240 518 -1
79 47 239 548 558 -1
79 101 237 238 222 320
80 195 242 237 518 518
80 15 242 401 480 -1
80 145 240 241 229 117
81 160 245 298 500 -1
81 19 245 421 494 -1
81 152 243 244 501 538
82 16 247 286 536 -1
82 116 246 248 180 439
82 137 247 114 328 328
83 162 251 215 521 521
83 23 251 73 36 73
83 98 249 250 52 274
84 95 254 471 584 -1
84 7 254 350 426 -1
84 25 252 253 42 309
85 154 257 98 315 315
85 0 257 0 305 305
85 134 255 256 186 91
86 164 259 289 386 -1
86 191 258 260 210 291
86 200 259 303 389 -1
87 54 262 263 516 586
87 186 261 156 123 156
87 38 261 281 533 -1
88 89 265 467 479 -1
88 180 264 266 84 70
88 182 265 221 60 221
89 121 268 269 163 115
89 52 267 138 118 138
89 126 267 174 106 174
90 147 271 272 224 152
90 166 270 200 83 200
90 75 270 116 520 520
91 99 274 179 394 394
91 98 273 275 251 52
91 17 274 81 74 81
92 188 278 145 365 365
92 6 278 435 515 -1
92 103 276 277 362 452
93 35 281 -1 -1 -1
93 158 281 503 506 -1
93 38 279 280 263 533
94 4 283 322 546 -1
94 61 282 284 -1 -1
94 150 283 144 59 144
95 156 286 287 508 568
95 16 285 246 536 536
95 204 285 407 431 -1
96 94 289 290 33 481
96 164 288 258 386 386
96 24 288 28 355 355
97 191 292 259 210 259
97 128 291 293 197 579
97 40 292 525 560 -1
98 41 295 148 507 507
98 143 294 296 209 188
98 185 295 157 352 352
99 135 298 299 113 450
99 160 297 243 500 500
99 114 297 216 31 216
100 92 301 302 88 366
100 53 300 135 133 135
100 202 300 187 13 187
101 200 304 260 389 389
101 130 303 305 511 573
101 0 304 256 0 256
102 115 308 211 34 211
102 46 308 77 9 77
102 78 306 307 159 444
103 25 311 254 42 254
103 173 311 324 356 -1
103 149 309 310 110 412
104 71 313 333 565 -1
104 120 312 314 61 415
104 187 313 231 502 502
105 154 316 255 98 255
105 125 315 317 195 469
105 36 316 193 563 563
106 133 319 320 203 420
106 190 318 37 340 340
106 101 318 239 222 239
107 39 322 323 392 459
107 4 321 282 546 546
107 165 321 7 354 354
108 173 325 310 356 356
108 113 324 326 90 330
108 82 325 357 397 -1
109 3 328 108 25 108
109 137 327 329 248 114
109 175 328 373 398 -1
110 113 331 332 325 90
110 66 330 339 369 -1
110 168 330 100 454 454
111 71 334 335 312 565
111 138 333 -1 -1 -1
111 11 333 344 368 -1
112 100 337 338 232 551
112 118 336 205 432 432
112 67 336 158 414 414
113 66 341 331 369 369
113 190 341 319 37 319
113 129 339 340 78 3
114 27 343 344 89 445
114 50 342 19 526 526
114 11 342 335 368 368
115 42 346 126 460 460
115 60 345 347 129 433
115 184 346 20 379 379
116 148 350 15 513 513
116 5 350 49 382 382
116 7 348 349 253 426
117 91 352 353 122 99
117 185 351 296 157 296
117 32 351 175 51 175
118 165 355 356 323 7
118 24 354 290 28 290
118 173 354 324 310 324
119 82 359 326 397 397
119 108 359 528 543 -1
119 86 357 358 64 530
120 181 361 362 220 440
120 192 360 380 462 -1
120 103 360 278 452 452
121 96 364 365 22 455
121 22 363 213 449 449
121 188 363 276 145 276
122 92 367 368 300 88
122 197 366 223 218 223
122 11 366 344 335 344
123 66 370 371 339 331
123 87 369 141 372 372
123 13 369 230 192 230
124 87 374 370 141 370
124 175 374 329 398 398
124 127 372 373 142 466
125 105 376 377 399 446
125 124 375 559 587 -1
125 28 375 43 451 451
126 65 379 572 585 -1
126 184 378 380 347 20
126 192 379 361 462 462
127 155 383 47 447 447
127 5 383 349 49 349
127 74 381 382 505 531
128 37 386 104 87 104
128 172 386 497 535 -1
128 164 384 385 289 258
129 45 388 137 76 137
129 199 387 389 599 41
129 200 388 303 260 303
130 31 392 26 411 411
130 76 392 2 510 510
130 39 390 391 321 459
131 93 394 185 21 185
131 99 393 395 273 179
131 142 394 226 484 484
132 170 397 398 80 39
132 82 396 357 326 357
132 175 396 373 329 373
133 105 400 375 446 446
133 49 399 401 109 56
133 15 400 241 480 480
134 21 404 -1 -1 -1
134 194 404 423 495 -1
134 79 402 403 473 524
135 59 406 407 11 425
135 55 405 519 537 -1
135 204 405 287 431 431
136 198 410 196 170 196
136 80 410 544 593 -1
136 88 408 409 236 472
137 31 412 390 26 390
137 149 411 413 311 110
137 189 412 184 545 545
138 67 415 416 338 158
138 120 414 313 61 313
138 43 414 428 429 -1
139 146 418 419 120 92
139 85 417 18 442 442
139 163 417 488 529 -1
140 133 422 318 203 318
140 19 422 244 494 494
140 64 420 421 154 424
141 194 424 403 495 495
141 64 423 425 422 154
141 59 424 405 11 405
142 7 428 350 253 350
142 151 428 172 82 172
142 43 426 427 416 429
143 43 430 428 416 428
143 72 429 431 146 441
143 204 430 407 287 407
144 118 433 434 337 205
144 60 432 346 129 346
144 167 432 85 437 437
145 6 436 277 515 515
145 102 435 437 58 596
145 167 436 434 85 434
146 1 439 54 456 456
146 116 438 440 247 180
146 181 439 360 220 360
147 72 442 443 430 146
147 85 441 418 18 418
147 58 441 204 38 204
148 78 445 446 308 159
148 27 444 342 89 342
148 105 444 399 375 399
149 155 448 381 47 381
149 63 447 449 219 63
149 22 448 364 213 364
150 135 452 297 113 297
150 28 452 377 43 377
150 103 450 451 362 278
151 141 454 455 201 10
151 168 453 332 100 332
151 96 453 363 22 363
152 1 458 438 54 438
152 119 458 199 169 199
152 111 456 457 540 582
153 39 460 392 321 392
153 42 459 461 345 126
153 112 460 483 564 -1
154 192 463 380 361 380
154 178 462 464 -1 -1
154 8 463 212 32 212
155 77 467 575 576 -1
155 127 467 374 142 374
155 89 465 466 264 479
156 144 469 470 474 509
156 125 468 316 195 316
156 203 468 189 6 189
157 95 472 252 584 584
157 88 471 473 410 236
157 79 472 404 524 524
158 144 475 468 509 509
158 81 474 476 103 24
158 62 475 225 121 225
159 131 479 -1 -1 -1
159 26 479 234 119 234
159 89 477 478 467 264
160 15 482 401 241 401
160 94 482 288 33 288
160 56 480 481 -1 -1
161 112 485 461 564 564
161 142 485 395 226 395
161 140 483 484 176 4
162 139 487 173 1 173
162 159 486 488 -1 -1
162 163 487 419 529 529
163 90 490 491 588 589
163 196 489 125 562 562
163 56 489 -1 -1 -1
164 161 493 494 75 504
164 183 492 217 147 217
164 19 492 421 244 421
165 194 497 423 403 423
165 29 497 168 555 555
165 172 495 496 385 535
166 61 499 -1 -1 -1
166 117 498 500 514 517
166 160 499 298 243 298
167 152 503 245 538 538
